Task,Domain,Agent Role,Proposed Action,Improved Action,Feedback Count,Seniority,Confidence,Top Influences,Iterations,Is Improvement
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,Senior Vice President of Advocacy and Policy,Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,8,0.9,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,"Vice President, Federal Advocacy",Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,7,0.8500000000000001,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,"Vice President, State Advocacy",Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,7,0.8500000000000001,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,"Senior Director, State Advocacy",Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,6,0.8,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,"Director, Political Engagement",Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,5,0.75,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,Political Action Manager,Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,3,0.65,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,Policy Analyst,Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,3,0.65,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,"Manager, Advocacy Activation",Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,3,0.65,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Advocacy,Advocacy and Policy Coordinator,Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,,0,2,0.6,,2,False
Develop statewide advocacy plan for Pennsylvania hospitals,Executive,President and Chief Executive Officer,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals",,0,10,1.0,,2,False
,Advocacy,Senior Vice President of Advocacy and Policy,,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Vice President, Federal Advocacy, Vice President, State Advocacy",2,True
,Advocacy,"Vice President, Federal Advocacy",,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, State Advocacy",2,True
,Advocacy,"Vice President, State Advocacy",,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy",2,True
,Advocacy,"Senior Director, State Advocacy",,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy",2,True
,Advocacy,"Director, Political Engagement",,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy",2,True
,Advocacy,Political Action Manager,,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy",2,True
